abbrState,state,healthQuestion,depressedPerc,healthInsurance,povertyLevel,medIncome,educatedPerc
AL,Alabama,15.7,21.3,13.9,19.3,42830,31.4
AK,Alaska,9.6,15.6,15,11.2,71583,36.2
AZ,Arizona,14.6,18.7,14.4,18.2,50068,36.0
AR,Arkansas,16,21.5,16.3,18.9,41262,27.7
CA,California,13.5,13.3,14.8,16.4,61933,39.5
CO,Colorado,10.1,17,12.8,12,61303,46.6
CT,Connecticut,11.3,18.3,8.7,10.8,70048,45.5
DE,Delaware,12.1,18.3,8.7,12.5,59716,38.5
DC,District of Columbia,9.4,18.1,8.3,17.7,71648,58.4
FL,Florida,14.2,16.2,17.6,16.5,47463,37.0
GA,Georgia,13.1,18.3,20.9,18.3,49321,36.1
HI,Hawaii,11.2,10.7,8.1,11.4,69592,41.5
ID,Idaho,9.4,19.5,16.5,14.8,47861,34.3
IL,Illinois,13.6,16.7,11.9,14.4,57444,40.6
IN,Indiana,13.4,20.7,14.8,15.2,49446,33.1
IA,Iowa,10.4,18.7,7.7,12.2,53712,39.0
KS,Kansas,11.7,18.6,14.5,13.6,52504,39.7
KY,Kentucky,15.9,23.9,10,19.1,42958,29.9
LA,Louisiana,14.8,18.7,18.7,19.8,44555,28.3
ME,Maine,10.9,23.7,11,14.1,49462,39.1
MD,Maryland,11.5,15.9,9.2,10.1,73971,44.8
MA,Massachusetts,10.5,21.7,4.6,11.6,69160,49.0
MI,Michigan,11.8,20.5,10.3,16.2,49847,36.6
MN,Minnesota,9.3,18.2,7.3,11.5,61481,45.3
MS,Mississippi,14.5,19.9,18.8,21.5,39680,29.7
MO,Missouri,11.9,21.7,12.9,15.5,48363,34.9
MT,Montana,11.1,20.4,12.9,15.4,46328,37.5
NE,Nebraska,9.9,17.7,12.4,12.4,52686,39.9
NV,Nevada,13.8,15.6,17.1,15.2,51450,31.2
NH,New Hampshire,9.8,21,11.4,9.2,66532,44.8
NJ,New Jersey,13.2,13.4,12.5,11.1,71919,43.8
NM,New Mexico,14.5,21.1,15.4,21.3,44803,34.4
NY,New York,12.3,15.9,12.3,15.9,58878,43.1
NC,North Carolina,13.5,19,16.1,17.2,46556,37.9
ND,North Dakota,11,17.3,8.8,11.5,59029,40.9
OH,Ohio,13.1,20.9,10.2,15.8,49308,35.0
OK,Oklahoma,14.1,21.8,13.9,16.6,47529,31.5
OR,Oregon,11.1,24,11,16.6,51075,39.2
PA,Pennsylvania,12.7,19.7,10.1,13.6,53234,36.9
RI,Rhode Island,11.7,20.6,8,14.3,54891,38.7
SC,South Carolina,13.4,19.9,17.1,18,45238,35.1
SD,South Dakota,10.6,16.6,9.9,14.2,50979,39.1
TN,Tennessee,16.2,21.4,14.2,18.3,44361,32.0
TX,Texas,14.2,14.6,24.9,17.2,53035,34.5
UT,Utah,9,20.7,13.9,11.7,60922,41.0
VT,Vermont,8.7,21.8,6.7,12.2,54166,42.6
VA,Virginia,12.2,17.4,13.1,11.8,64902,44.0
WA,Washington,12.2,21.6,10.7,13.2,61366,43.2
WV,West Virginia,16.7,23.6,10.1,18.3,41059,25.7
WI,Wisconsin,11.3,17,8.5,13.2,52622,38.8
WY,Wyoming,10.2,19,15.1,11.2,57055,37.3
PR,Puerto Rico,31.4,18.5,6,46.2,18928,33.8
